Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33983-40830:Delon Wright,33983-40830,SG,Delon,Wright,19.214705523322607,68,6200,MEM@PHO,MEM,PHO,,,,,,27.120000000000005,14.2,17.5,0.0340865034518847,31.6,33.35,26.8,Delon Wright,9.412239769606265
33983-82744:Shaquille Harrison,33983-82744,PG,Shaquille,Harrison,16.223880597014926,67,6100,TOR@CHI,CHI,TOR,,,,,,24.479999999999997,11.6,15.6,0.2061583346567758,29.2,27.3,31.9,Shaquille Harrison,8.657467389961267
33983-9666:Thaddeus Young,33983-9666,PF,Thaddeus,Young,28.55000064247533,76,6100,ORL@IND,IND,ORL,,,,,,28.02,16.2,17.9,0.14859929114980075,31.0,30.25,27.7,Thaddeus Young,10.380699331427259
33983-55058:Bruno Caboclo,33983-55058,SF,Bruno,Caboclo,17.051851625795713,27,6000,MEM@PHO,MEM,PHO,,,,,,-1000.0,9.0,14.6,0.24768972583153015,2.2,,27.5,Bruno Caboclo,
33983-9585:Dwyane Wade,33983-9585,SG,Dwyane,Wade,26.76666629675663,66,6000,MIA@NY,MIA,NYK,,,,,,29.939999999999998,15.5,27.3,0.9613419813281776,26.8,38.05,31.9,Dwyane Wade,15.557516982925925
33983-9624:Darren Collison,33983-9624,PG,Darren,Collison,27.04383494755993,73,6000,ORL@IND,IND,ORL,,,,,,33.019999999999996,16.9,17.4,0.2477827385895038,31.0,40.95,28.8,Darren Collison,11.093660498071845
33983-9466:D.J. Augustin,33983-9466,PG,D.J.,Augustin,22.83066731770833,75,6000,ORL@IND,ORL,IND,,,,,,33.6,15.9,17.0,0.025094378571294377,31.2,37.2,24.7,D.J. Augustin,9.788977079062155
33983-14516:Enes Kanter,33983-14516,C,Enes,Kanter,27.793443023181357,61,5900,POR@DET,POR,DET,,,,,,19.02,21.9,22.9,0.009987218030808332,17.2,26.1,28.1,Enes Kanter,10.37418128817468
33983-12342:Al-Farouq Aminu,33983-12342,PF,Al-Farouq,Aminu,23.35333333333333,75,5800,POR@DET,POR,DET,,,,,,20.52,13.1,13.2,0.027843275282867626,26.2,28.05,21.4,Al-Farouq Aminu,8.106408075985446
33983-80811:Jonathan Isaac,33983-80811,SF,Jonathan,Isaac,22.838570731026785,70,5800,ORL@IND,ORL,IND,,,,,,22.96,12.6,16.1,0.5862531305964688,27.2,28.2,24.0,Jonathan Isaac,10.42833873341345
33983-9581:Marc Gasol,33983-9581,C,Marc,Gasol,34.7301376551798,73,5600,TOR@CHI,TOR,CHI,,,,,,29.7,16.8,21.4,0.9033642668470633,28.0,32.4,29.2,Marc Gasol,14.32670913411914
33983-84689:Josh Okogie,33983-84689,SG,Josh,Okogie,17.372059541590072,68,5600,PHI@MIN,MIN,PHI,,,,,,25.56,9.0,15.9,0.2728678141905293,28.8,31.75,24.3,Josh Okogie,9.273508356673148
33983-23676:Damyean Dotson,33983-23676,SG,Damyean,Dotson,19.86818255800189,66,5500,MIA@NY,NYK,MIA,,,,,,24.88,11.9,17.6,0.1745392665347342,33.2,31.45,25.3,Damyean Dotson,9.853339304736725
33983-80814:Dennis Smith,33983-80814,PG,Dennis,Smith,26.36199951171875,50,5500,MIA@NY,NYK,MIA,,,,,,25.7,12.6,24.2,0.14400803170345083,30.0,29.25,20.6,Dennis Smith,11.645463544565633
33983-24247:Fred VanVleet,33983-24247,PG,Fred,VanVleet,23.315518083243536,58,5500,TOR@CHI,TOR,CHI,,,,,,25.74,13.6,17.9,0.6204247816496155,30.6,33.5,29.3,Fred VanVleet,11.72566024320296
33983-23096:Evan Fournier,33983-23096,SG,Evan,Fournier,25.28933268229167,75,5400,ORL@IND,ORL,IND,,,,,,28.6,11.8,22.1,0.09702143723322636,31.2,31.75,26.9,Evan Fournier,11.11873252031004
33983-9873:Robin Lopez,33983-9873,C,Robin,Lopez,17.994117288028487,68,5400,TOR@CHI,CHI,TOR,,,,,,25.78,15.6,18.6,0.15045706218412164,27.6,35.9,26.3,Robin Lopez,9.854460576932343
33983-80809:Josh Jackson,33983-80809,PF,Josh,Jackson,21.87123254227312,73,5400,MEM@PHO,PHO,MEM,,,,,,20.940000000000005,10.2,24.2,0.06058197967849641,26.8,27.9,26.2,Josh Jackson,10.822174905239402
33983-16178:Maurice Harkless,33983-16178,SF,Maurice,Harkless,19.320371274594912,54,5300,POR@DET,POR,DET,,,,,,22.439999999999998,12.9,13.3,0.07187651678289322,26.8,24.85,19.8,Maurice Harkless,7.7197973940208096
