Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR,FullName,BOOM
33809-17747:Ian Clark,33809-17747,SG,Ian,Clark,9.332692072941708,52,4100,HOU@NO,NOP,HOU,,,,,,18.16,18.6,7.9,18.1,0.12320505759982549,18.5,Ian Clark,7.397597002866673
33809-9939:Patty Mills,33809-9939,PG,Patty,Mills,18.241095555971746,73,4100,SA@BOS,SAS,BOS,,,,,,18.54,22.8,13.2,18.4,0.3386296155122778,20.2,Patty Mills,9.016830770075192
33809-15762:Darius Miller,33809-15762,SF,Darius,Miller,15.675757205847535,66,4000,HOU@NO,NOP,HOU,,,,,,19.46,28.4,8.5,13.3,0.13603071910076447,18.35,Darius Miller,7.244270843312616
33809-9664:Andre Iguodala,33809-9664,SG,Andre,Iguodala,19.449207124255953,63,4000,DET@GS,GSW,DET,,,,,,15.780000000000001,20.8,13.3,10.2,0.13093855268365373,18.45,Andre Iguodala,6.388038572629899
33809-66046:Luke Kennard,33809-66046,SG,Luke,Kennard,16.631481029369212,54,4000,DET@GS,DET,GSW,,,,,,16.060000000000002,24.0,11.8,18.1,0.75647983808866,19.5,Luke Kennard,10.091519317194921
33809-12337:Greg Monroe,33809-12337,C,Greg,Monroe,11.215789794921877,38,3900,SA@BOS,BOS,SAS,,,,,,8.54,9.2,13.6,22.1,0.10117272677985552,18.4,Greg Monroe,8.055879095283816
33809-23788:Bryn Forbes,33809-23788,PG,Bryn,Forbes,18.975341796875,73,3900,SA@BOS,SAS,BOS,,,,,,15.839999999999998,26.0,11.4,17.6,0.3386296155122778,20.1,Bryn Forbes,9.101134900500528
33809-23294:Danuel House,33809-23294,SF,Danuel,House,17.0,30,3900,HOU@NO,HOU,NOP,,,,,,17.839999999999996,30.2,12.0,14.5,0.963011878842806,23.1,Danuel House,11.140342755532046
33809-14521:Kenneth Faried,33809-14521,PF,Kenneth,Faried,21.668750762939453,32,3800,HOU@NO,HOU,NOP,,,,,,13.76,15.0,22.0,20.1,0.9931342094097462,16.2,Kenneth Faried,10.226779616276604
33809-18435:Alfonzo McKinnie,33809-18435,SF,Alfonzo,McKinnie,10.493547993321572,62,3700,DET@GS,GSW,DET,,,,,,13.36,14.6,11.3,14.2,0.07187651678289322,16.8,Alfonzo McKinnie,6.145431184839484
33809-14515:Iman Shumpert,33809-14515,SG,Iman,Shumpert,17.594545676491478,55,3700,HOU@NO,HOU,NOP,,,,,,13.64,20.2,9.3,14.7,0.9662231617134047,14.85,Iman Shumpert,9.193092225207494
33809-9962:Jonas Jerebko,33809-9962,PF,Jonas,Jerebko,14.543749809265135,64,3700,DET@GS,GSW,DET,,,,,,10.98,10.4,13.6,14.9,0.027843275282867626,15.7,Jonas Jerebko,6.357717258966488
33809-9715:Marco Belinelli,33809-9715,SG,Marco,Belinelli,17.225352112676056,71,3700,SA@BOS,SAS,BOS,,,,,,16.839999999999996,22.4,12.9,19.8,0.190954507181358,18.45,Marco Belinelli,8.809432893195002
