Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33857-9637:Danilo Gallinari,33857-9637,SF,Danilo,Gallinari,32.21774193548387,62,7600,LAC@MIN,LAC,MIN,,,,,,38.019999999999996,20.7,23.4,0.9532243274403575,30.4,41.45,33.2,Danilo Gallinari,19.01458052029567
33857-80812:Lauri Markkanen,33857-80812,PF,Lauri,Markkanen,34.19423029972957,52,7600,CHI@TOR,CHI,TOR,,,,,,32.12,17.2,24.9,0.3752034810575365,28.4,34.3,39.2,Lauri Markkanen,17.36665491350343
33857-9739:JaVale McGee,33857-9739,C,JaVale,McGee,27.36666592684659,66,7500,WAS@LAL,LAL,WAS,,,,,,40.4,21.5,20.1,0.9264354911522384,26.2,47.6,37.0,JaVale McGee,18.169844573150257
33857-12355:Eric Bledsoe,33857-12355,PG,Eric,Bledsoe,32.827779134114586,72,7500,HOU@MIL,MIL,HOU,,,,,,32.89999999999999,18.7,22.8,0.028185482359472255,32.2,40.35,35.3,Eric Bledsoe,16.319152278517812
33857-23665:Buddy Hield,33857-23665,SG,Buddy,Hield,32.128765785530824,73,7500,SAC@DAL,SAC,DAL,,,,,,33.739999999999995,17.5,25.2,0.9654265675929291,32.0,39.9,33.6,Buddy Hield,20.415661187322392
33857-9662:Lou Williams,33857-9662,SG,Lou,Williams,32.132352941176464,68,7400,LAC@MIN,LAC,MIN,,,,,,28.119999999999997,21.6,32.7,0.8842912792861917,26.4,28.45,33.0,Lou Williams,20.380205706636232
33857-41594:Aaron Gordon,33857-41594,PF,Aaron,Gordon,32.392857142857146,70,7200,ORL@MIA,ORL,MIA,,,,,,33.62,15.0,22.1,0.016160640219438013,33.6,37.2,32.4,Aaron Gordon,15.937195570311466
33857-66108:Jamal Murray,33857-66108,PG,Jamal,Murray,31.480302290482953,66,7000,DET@DEN,DEN,DET,,,,,,29.139999999999997,15.4,24.8,0.10850999209079994,32.2,29.75,31.2,Jamal Murray,16.26542071471082
33857-20992:Larry Nance,33857-20992,PF,Larry,Nance,27.976270772643012,59,6900,BOS@CLE,CLE,BOS,,,,,,28.5,18.6,15.4,0.008849212459396624,25.4,35.05,31.3,Larry Nance,13.406042058935874
33857-23097:Tomas Satoransky,33857-23097,PG,Tomas,Satoransky,22.487499660915798,72,6900,WAS@LAL,WAS,LAL,,,,,,33.599999999999994,14.4,14.1,0.9531638879619686,34.8,35.95,29.6,Tomas Satoransky,16.956103354224602
33857-9729:Paul Millsap,33857-9729,PF,Paul,Millsap,29.436065173539962,61,6800,DET@DEN,DEN,DET,,,,,,35.58,18.9,19.7,0.027843275282867626,32.4,36.35,33.7,Paul Millsap,15.019054922041631
33857-80817:Bam Adebayo,33857-80817,PF,Bam,Adebayo,23.646574673587327,73,6800,ORL@MIA,MIA,ORL,,,,,,34.56,17.7,15.8,0.14859929114980075,28.0,35.05,31.4,Bam Adebayo,13.588766860891013
33857-9621:Brook Lopez,33857-9621,C,Brook,Lopez,27.537838497677363,74,6700,HOU@MIL,MIL,HOU,,,,,,36.94,14.7,16.8,0.02617028944530626,32.2,37.8,28.0,Brook Lopez,14.213616671073506
33857-58081:Tyus Jones,33857-58081,PG,Tyus,Jones,18.352543200476696,59,6600,LAC@MIN,MIN,LAC,,,,,,26.74,13.1,13.8,0.6364205870516831,31.6,29.85,29.2,Tyus Jones,14.229834234926116
33857-9455:Rajon Rondo,33857-9455,PG,Rajon,Rondo,27.648719200721153,39,6600,WAS@LAL,LAL,WAS,,,,,,28.080000000000002,12.1,17.3,0.8676371288257312,31.2,34.7,29.2,Rajon Rondo,17.15091935271402
33857-16196:Dwight Powell,33857-16196,PF,Dwight,Powell,20.831884411798008,69,6600,SAC@DAL,DAL,SAC,,,,,,26.9,20.1,17.1,0.12206972962474516,28.4,32.85,32.6,Dwight Powell,13.494385350817042
33857-49116:Andrew Wiggins,33857-49116,SG,Andrew,Wiggins,30.07500076293945,64,6600,LAC@MIN,MIN,LAC,,,,,,28.46,11.9,24.1,0.4245324672066487,34.6,28.5,29.3,Andrew Wiggins,17.12104122975248
33857-58377:Kyle Kuzma,33857-58377,PF,Kyle,Kuzma,30.489706600413605,68,6500,WAS@LAL,LAL,WAS,,,,,,28.160000000000004,14.1,23.7,0.8156903555621056,33.8,28.0,33.4,Kyle Kuzma,18.672989827132042
33857-42550:Jabari Parker,33857-42550,SF,Jabari,Parker,26.9559326171875,59,6500,WAS@LAL,WAS,LAL,,,,,,31.919999999999995,15.3,24.5,0.9097316942805543,28.4,36.7,26.7,Jabari Parker,18.05815508184163
33857-42156:Bobby Portis,33857-42156,PF,Bobby,Portis,27.264285132998513,42,6500,WAS@LAL,WAS,LAL,,,,,,27.1,16.1,25.0,0.9110518409236977,28.8,30.75,34.1,Bobby Portis,18.651140008863138
33857-42677:Terry Rozier,33857-42677,PG,Terry,Rozier,20.98873170664613,71,6500,BOS@CLE,BOS,CLE,,,,,,20.32,13.5,18.7,0.8729485459481929,21.2,28.45,28.2,Terry Rozier,15.176915920446339
33857-23823:Willie Cauley-Stein,33857-23823,C,Willie,Cauley-Stein,30.54109589041096,73,6500,SAC@DAL,SAC,DAL,,,,,,25.439999999999998,17.8,17.9,0.43393614875004705,23.0,26.55,22.4,Willie Cauley-Stein,14.57114537259766
33857-15559:Jeremy Lamb,33857-15559,SG,Jeremy,Lamb,28.44857177734375,70,6300,SA@CHA,CHO,SAS,,,,,,32.040000000000006,16.6,22.4,0.2741203755925768,29.4,36.85,27.6,Jeremy Lamb,16.182937407022845
33857-16233:Josh Richardson,33857-16233,SF,Josh,Richardson,30.28450635453345,71,6300,ORL@MIA,MIA,ORL,,,,,,30.02,14.0,21.1,0.26930059578229054,37.6,34.0,32.5,Josh Richardson,15.596839362567518
33857-9581:Marc Gasol,33857-9581,C,Marc,Gasol,35.219719685299296,71,6300,CHI@TOR,TOR,CHI,,,,,,29.7,16.8,21.4,0.9033642668470633,28.0,32.4,26.7,Marc Gasol,18.3675076366291
33857-16301:Dewayne Dedmon,33857-16301,C,Dewayne,Dedmon,27.237095986643144,62,6300,ATL@NO,ATL,NOP,,,,,,31.04,16.0,16.9,0.9960694931942436,26.6,33.85,29.3,Dewayne Dedmon,16.84967119953394
33857-9466:D.J. Augustin,33857-9466,PG,D.J.,Augustin,22.60547878317637,73,6200,ORL@MIA,ORL,MIA,,,,,,33.6,15.9,17.0,0.14400803170345083,31.2,37.2,24.9,D.J. Augustin,14.092115360597333
33857-23096:Evan Fournier,33857-23096,SG,Evan,Fournier,25.475341796875,73,6000,ORL@MIA,ORL,MIA,,,,,,28.6,11.8,22.1,0.1745392665347342,31.2,31.75,25.4,Evan Fournier,15.35398917555226
33857-84667:Collin Sexton,33857-84667,PG,Collin,Sexton,23.681081411000843,74,6000,BOS@CLE,CLE,BOS,,,,,,30.560000000000002,11.7,25.3,0.3386296155122778,34.4,32.65,26.7,Collin Sexton,16.804743095513267
33857-67312:Thomas Bryant,33857-67312,C,Thomas,Bryant,21.620311737060547,64,6000,WAS@LAL,WAS,LAL,,,,,,24.38,21.3,17.3,0.8046557907576491,24.6,29.45,41.0,Thomas Bryant,15.17199164750032
33857-63126:Cedi Osman,33857-63126,SF,Cedi,Osman,23.630434782608692,69,5900,BOS@CLE,CLE,BOS,,,,,,24.0,11.6,18.7,0.06745440970932684,34.2,30.6,25.7,Cedi Osman,13.365482696743914
