Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Jimmy Butler,33785-14528,SG,Jimmy,Butler,37.6966118246822,59,8400,PHI@ATL,PHI,ATL,,,,,,37.94,35.0,21.3,22.2,0.978908720343149,38.3
Blake Griffin,33785-9560,PF,Blake,Griffin,41.35507246376812,69,8300,DET@POR,DET,POR,,,,,,34.099999999999994,33.0,21.5,30.4,0.16311259895240496,33.65
Klay Thompson,33785-14509,SG,Klay,Thompson,34.97826086956522,69,8200,DAL@GS,GSW,DAL,,,,,,40.76,36.4,16.7,25.7,0.9654265675929291,48.65
Deandre Ayton,33785-84673,C,Deandre,Ayton,35.120587517233446,68,8000,PHO@SAC,PHO,SAC,,,,,,35.44,29.0,20.9,21.1,0.07518358118822295,44.9
John Collins,33785-66236,PF,John,Collins,34.37454501065341,55,7900,PHI@ATL,ATL,PHI,,,,,,35.1,30.8,21.3,23.4,0.16375140950950012,36.65
Lauri Markkanen,33785-80812,PF,Lauri,Markkanen,34.237254423253674,51,7900,UTA@CHI,CHI,UTA,,,,,,35.919999999999995,35.8,17.8,24.8,0.5191181697789612,38.55
Jonas Valanciunas,33785-14503,C,Jonas,Valanciunas,28.77727161754261,44,7800,MIN@MEM,MEM,MIN,,,,,,33.06,26.4,25.1,26.5,0.8831485778909697,38.0
Trae Young,33785-84671,PG,Trae,Young,33.924323004645274,74,7700,PHI@ATL,ATL,PHI,,,,,,44.779999999999994,35.4,14.8,27.5,0.20541192862718172,55.1
Tobias Harris,33785-14518,PF,Tobias,Harris,35.76849448844178,73,7600,PHI@ATL,PHI,ATL,,,,,,35.56,37.0,18.5,23.3,0.9270499974625365,46.75
Buddy Hield,33785-23665,SG,Buddy,Hield,32.06056406800176,71,7400,PHO@SAC,SAC,PHO,,,,,,42.260000000000005,35.0,17.7,24.8,0.0340865034518847,50.95
Draymond Green,33785-15860,PF,Draymond,Green,31.40714372907366,56,7300,DAL@GS,GSW,DAL,,,,,,24.86,30.8,12.8,13.2,0.6800781172046994,25.25
Tomas Satoransky,33785-23097,PG,Tomas,Satoransky,22.359154929577464,71,7100,MIA@WAS,WAS,MIA,,,,,,30.479999999999997,34.8,14.2,14.0,0.14400803170345083,32.3
Marvin Bagley,33785-84679,PF,Marvin,Bagley,27.80565945607311,53,7000,PHO@SAC,SAC,PHO,,,,,,35.50000000000001,29.4,17.9,23.1,0.8050710234474617,46.7
Dwight Powell,33785-16196,PF,Dwight,Powell,20.819116928998167,68,7000,DAL@GS,DAL,GSW,,,,,,33.279999999999994,33.6,19.4,18.4,0.9595981954440151,33.7
Jabari Parker,33785-42550,SF,Jabari,Parker,26.99482674434267,58,6800,MIA@WAS,WAS,MIA,,,,,,30.26,24.2,14.2,24.5,0.10268166989249719,35.05
Derrick Favors,33785-12351,PF,Derrick,Favors,27.83098591549296,71,6800,UTA@CHI,UTA,CHI,,,,,,35.620000000000005,25.8,20.6,18.8,0.8366464915416565,39.25
Ricky Rubio,33785-14496,PG,Ricky,Rubio,28.20806490990423,62,6700,UTA@CHI,UTA,CHI,,,,,,28.74,26.2,13.4,22.8,0.6204247816496155,29.1
Andrew Wiggins,33785-49116,SG,Andrew,Wiggins,30.119047619047624,63,6600,MIN@MEM,MIN,MEM,,,,,,28.18,34.8,12.2,24.5,0.2962412394749948,31.85
Bam Adebayo,33785-80817,PF,Bam,Adebayo,23.305555555555557,72,6400,MIA@WAS,MIA,WAS,,,,,,28.880000000000003,25.2,16.5,15.1,0.8156903555621056,29.9
Josh Richardson,33785-16233,SF,Josh,Richardson,30.20428641183036,70,6300,MIA@WAS,MIA,WAS,,,,,,31.18,35.6,14.4,22.0,0.8996298580147305,33.3
J.J. Redick,33785-9655,SF,J.J.,Redick,25.448529411764714,68,6300,PHI@ATL,PHI,ATL,,,,,,19.52,30.2,15.3,22.2,0.9909173606671299,20.8
Robin Lopez,33785-9873,C,Robin,Lopez,17.86461463341346,65,6200,UTA@CHI,CHI,UTA,,,,,,31.5,33.8,14.4,18.5,0.9735485739271846,36.45
Joe Ingles,33785-59318,SF,Joe,Ingles,27.00138854980469,72,6200,UTA@CHI,UTA,CHI,,,,,,33.0,34.6,12.6,17.2,0.32255484096434267,32.1
Willie Cauley-Stein,33785-23823,C,Willie,Cauley-Stein,30.840844382702464,71,6100,PHO@SAC,SAC,PHO,,,,,,27.640000000000004,25.2,17.8,18.5,0.9432765211371079,35.15
Jalen Brunson,33785-84690,PG,Jalen,Brunson,16.524999618530273,64,6000,DAL@GS,DAL,GSW,,,,,,25.22,29.2,10.9,18.5,0.4436876585033643,29.65
