Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
13,18,SG,6-4,180,"November 18, 1992",us,R,"Illinois State University, Texas Southern University, New Mexico State",DET,
14,24,PG,6-1,195,"May 24, 1989",us,1,Michigan State,DET,
15,7,PF,7-1,221,"February 25, 1997",ss,2,,DET,
16,19,SF,6-8,205,"June 10, 1997",ua,R,Kansas,DET,
17,27,C,6-11,270,"February 10, 1984",ge,15,,DET,
18,22,SF,6-6,222,"January 8, 1994",us,4,Michigan,DET,
19,14,PG,6-0,175,"July 5, 1988",us,8,Wake Forest,DET,
20,13,SG,6-3,210,"May 8, 1996",us,R,Creighton,DET,
1,2,C,6-9,224,"January 7, 1995",us,1,Oregon,GSW,
2,12,C,7-0,260,"November 28, 1984",au,13,Utah,GSW,
3,4,PG,6-2,179,"March 23, 1993",us,2,Duke,GSW,
4,0,C,6-11,270,"August 13, 1990",us,8,Kentucky,GSW,
5,30,PG,6-3,190,"March 14, 1988",us,9,Davidson,GSW,
6,32,PF,6-7,249,"February 1, 1996",us,R,Georgetown,GSW,
7,35,SF,6-9,240,"September 29, 1988",us,11,Texas,GSW,
8,10,SG,6-6,210,"June 18, 1997",us,R,Cincinnati,GSW,
9,23,PF,6-7,230,"March 4, 1990",us,6,Michigan State,GSW,
10,9,SF,6-6,215,"January 28, 1984",us,14,Arizona,GSW,
11,21,PF,6-10,231,"March 2, 1987",se,8,,GSW,
12,15,C,7-0,245,"June 30, 1995",us,2,Vanderbilt,GSW,
13,1,SG,6-6,210,"October 21, 1992",us,1,"Drexel, Louisville",GSW,
14,34,PG,6-7,192,"September 11, 1985",us,13,,GSW,
15,5,C,6-9,220,"February 6, 1996",us,3,UCLA,GSW,
16,28,SF,6-8,215,"September 17, 1992",us,1,Green Bay,GSW,
17,11,SG,6-7,215,"February 8, 1990",us,7,Washington State,GSW,
1,7,PF,6-8,240,"May 29, 1984",us,15,Syracuse,HOU,
2,15,C,6-10,240,"May 18, 1994",ch,4,,HOU,
3,1,PG,6-6,190,"October 10, 1991",us,5,Syracuse,HOU,
4,2,PG,6-0,176,"November 25, 1995",us,R,Florida,HOU,
5,0,PF,6-10,240,"July 2, 1997",us,2,Washington,HOU,
6,6,PF,6-8,225,"November 16, 1994",us,R,Cincinnati,HOU,
7,12,SF,6-8,225,"April 5, 1996",us,R,Purdue,HOU,
8,8,SF,6-7,210,"July 1, 1990",us,4,Cal State Long Beach,HOU,
9,35,C,6-8,220,"November 19, 1989",us,7,Morehead State University,HOU,
10,10,SG,6-4,215,"December 25, 1988",us,10,Indiana,HOU,
11,14,SG,6-7,205,"January 26, 1986",us,11,,HOU,
12,13,PG,6-5,220,"August 26, 1989",us,9,Arizona State,HOU,
13,55,PF,7-0,249,"May 5, 1998",us,R,,HOU,
14,42,C,6-11,250,"September 13, 1982",br,16,,HOU,
15,4,SF,6-7,220,"June 7, 1993",us,2,Texas A&M,HOU,
16,9,PF,6-9,252,"January 9, 1992",us,5,Kentucky,HOU,
17,2,PG,6-3,195,"December 2, 1991",us,6,Kentucky,HOU,
18,21,SF,6-7,208,"July 14, 1990",us,1,"University of California, Santa Barbara",HOU,
19,3,PG,6-0,175,"May 6, 1985",us,13,Wake Forest,HOU,
20,9,PF,7-1,210,"January 16, 1996",cn,1,,HOU,
21,25,SG,6-4,200,"August 1, 1992",us,6,Duke,HOU,
22,1,SG,6-5,215,"June 26, 1990",us,7,Georgia Tech,HOU,
23,17,PF,6-6,245,"May 5, 1985",us,7,Texas,HOU,
1,13,C,6-10,250,"October 17, 1998",us,1,UCLA,IND,
2,44,SF,6-8,216,"April 18, 1989",ba,4,,IND,
3,2,PG,6-0,175,"August 23, 1987",us,9,UCLA,IND,
4,12,SG,6-6,220,"September 19, 1989",us,9,Memphis,IND,
5,3,PG,6-1,185,"September 30, 1996",us,R,UCLA,IND,
6,24,PF,6-9,212,"April 22, 1996",us,R,Missouri State,IND,
7,6,PG,6-3,193,"August 20, 1991",ca,7,Texas,IND,
8,22,PF,6-10,225,"April 30, 1997",il,1,UCLA,IND,
9,23,SG,6-5,220,"October 14, 1986",us,9,Marquette,IND,
10,20,SF,6-8,225,"January 3, 1992",us,4,Creighton,IND,
11,10,C,6-10,250,"March 26, 1990",us,6,Norfolk State,IND,
12,4,SG,6-4,210,"May 4, 1992",us,5,Indiana,IND,
13,32,SG,6-5,208,"June 11, 1995",us,1,Miami (FL),IND,
14,11,C,6-11,240,"May 3, 1996",us,2,Gonzaga,IND,
15,5,PG,6-6,176,"December 31, 1995",us,1,Xavier,IND,
16,33,C,6-11,250,"March 24, 1996",us,3,Texas,IND,
17,21,PF,6-8,221,"June 21, 1988",us,11,Georgia Tech,IND,
1,21,PG,6-1,185,"July 12, 1988",us,6,Arkansas,LAC,
2,11,SG,6-2,180,"November 26, 1990",us,8,Texas,LAC,
3,22,SF,6-9,225,"May 10, 1987",us,10,DePaul,LAC,
4,31,C,6-10,245,"November 20, 1994",do,R,Seton Hall,LAC,
5,8,SF,6-10,225,"August 8, 1988",it,9,,LAC,
6,2,PG,6-6,181,"July 12, 1998",ca,R,Kentucky,LAC,
7,13,C,6-11,240,"February 17, 1984",pl,11,,LAC,
8,4,PF,6-9,227,"June 21, 1990",us,4,Alabama,LAC,
9,5,C,6-8,240,"January 26, 1994",us,3,Louisville,LAC,
10,34,PF,6-9,235,"July 15, 1992",us,7,Tennessee,LAC,
11,51,C,7-3,290,"August 15, 1988",rs,3,,LAC,
12,12,PF,6-8,230,"September 9, 1986",cm,10,UCLA,LAC,
13,15,PF,6-10,230,"May 4, 1995",us,1,Baylor,LAC,
14,10,SG,6-5,190,"February 22, 1997",us,R,Boston College,LAC,
15,30,PF,6-8,237,"July 16, 1988",us,6,Virginia,LAC,
16,20,SG,6-5,188,"March 13, 1997",us,R,Wichita State,LAC,
17,17,SG,6-6,195,"May 8, 1986",us,8,LSU,LAC,
18,4,PG,6-5,196,"March 19, 1987",rs,1,,LAC,
19,0,SG,6-5,215,"November 15, 1994",us,1,South Carolina,LAC,
20,9,PG,6-5,198,"June 10, 1994",us,1,Cal,LAC,
21,23,SG,6-1,175,"October 27, 1986",us,13,,LAC,
22,40,C,7-1,240,"March 18, 1997",ba,2,,LAC,
1,2,PG,6-6,190,"October 27, 1997",us,1,UCLA,LAL,
2,11,PF,6-9,235,"January 9, 1989",us,10,Kansas State,LAL,
3,17,PG,6-8,180,"November 8, 1999",de,R,,LAL,
4,35,SG,6-7,205,"March 16, 1991",us,5,UNC,LAL,
5,1,SG,6-5,205,"February 18, 1993",us,5,Georgia,LAL,
6,4,PG,6-5,186,"February 28, 1994",us,1,Texas A&M,LAL,
7,5,C,7-1,240,"October 2, 1982",us,17,,LAL,
8,3,SG,6-5,215,"March 6, 1995",us,1,Villanova,LAL,
9,20,SG,6-3,190,"November 19, 1985",us,1,American University,LAL,
