,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
163,Evan Turner,2.0,0.5,2.2,1.0,1.2,0.2,0.41200000000000003,0.218,0.436,0.682,0.515,0.545
164,Frank Jackson,1.9,2.0,1.3,1.0,0.0,0.5,0.41,0.292,0.358,0.604,1.0,0.778
165,Frank Kaminsky,1.9,3.2,0.1,1.7,0.6,0.9,0.516,0.34700000000000003,0.188,0.659,0.667,0.652
166,Frank Mason,1.3,0.2,1.8,0.6,0.0,0.1,0.488,0.14300000000000002,0.318,0.846,0.0,0.5
167,Frank Ntilikina,1.9,1.8,2.1,0.0,0.0,0.1,0.39299999999999996,0.287,0.348,0.5,0.0,0.4
168,Fred VanVleet,2.7,3.8,2.7,0.3,0.0,0.2,0.401,0.426,0.337,0.5379999999999999,0.0,0.833
169,Furkan Korkmaz,0.6,2.5,1.0,0.7,0.0,0.3,0.406,0.336,0.317,0.682,0.0,0.5379999999999999
170,Garrett Temple,1.0,3.3,1.0,0.6,0.0,0.3,0.426,0.37200000000000005,0.297,0.621,1.0,0.6
171,Gary Clark,0.2,2.2,0.2,0.2,0.0,0.0,0.667,0.294,0.33299999999999996,1.0,0.0,1.0
172,Gary Harris,4.5,3.6,2.4,0.6,0.0,0.3,0.46,0.363,0.341,0.652,0.0,0.5710000000000001
173,Gary Payton II,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0
174,Gary Trent Jr.,0.3,0.4,1.7,0.1,0.4,0.0,0.16699999999999998,0.182,0.39299999999999996,0.33299999999999996,0.6,0.0
175,George Hill,1.9,1.9,1.8,1.0,0.0,0.3,0.495,0.325,0.41200000000000003,0.65,0.0,0.667
176,George King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Georges Niang,1.1,2.0,0.4,0.2,0.0,0.1,0.636,0.396,0.611,0.7140000000000001,0.0,1.0
178,Gerald Green,1.2,5.2,1.7,0.5,0.0,0.0,0.5,0.39,0.295,0.792,0.0,0.33299999999999996
179,Giannis Antetokounmpo,8.9,0.7,3.1,6.3,2.1,2.0,0.633,0.213,0.322,0.7190000000000001,0.53,0.61
180,Glenn Robinson III,0.6,1.3,0.7,0.8,0.0,0.1,0.23800000000000002,0.309,0.5,0.7390000000000001,0.0,0.25
181,Goran Dragic,4.3,3.4,3.2,0.5,0.1,0.4,0.455,0.369,0.33799999999999997,0.35,0.0,0.4
182,Gordon Hayward,2.8,3.1,2.3,1.4,0.1,0.9,0.518,0.382,0.369,0.603,0.5,0.6459999999999999
183,Gorgui Dieng,0.4,2.3,0.7,2.4,0.4,1.2,0.42100000000000004,0.48100000000000004,0.355,0.627,0.429,0.614
184,Grayson Allen,1.8,2.2,0.9,0.2,0.0,0.1,0.40399999999999997,0.368,0.275,0.667,0.0,0.5
185,Greg Monroe,0.5,0.3,0.0,3.2,0.8,1.0,0.391,0.263,0.0,0.593,0.37799999999999995,0.47100000000000003
186,Guerschon Yabusele,0.3,0.8,0.0,0.6,0.5,0.2,0.5710000000000001,0.344,0.0,0.625,0.5,0.5710000000000001
187,Hamidou Diallo,0.8,0.3,0.1,1.2,0.0,0.2,0.35700000000000004,0.2,0.3,0.519,0.0,0.625
188,Harrison Barnes,3.5,5.7,2.5,1.7,2.0,0.4,0.44299999999999995,0.395,0.337,0.654,0.41700000000000004,0.414
189,Harry Giles III,0.7,0.9,0.3,3.8,1.4,1.6,0.457,0.406,0.267,0.609,0.395,0.5
190,Hassan Whiteside,0.3,0.8,0.1,9.3,1.5,1.4,0.435,0.36,0.15,0.618,0.436,0.489
191,Haywood Highsmith,0.8,0.6,0.4,0.0,0.0,0.0,1.0,0.25,0.5,0.0,0.0,0.0
192,Henry Ellenson,0.7,2.6,0.5,1.0,0.4,0.3,0.25,0.474,0.25,0.667,0.231,0.5
